Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
9/17/1908,Virgin Islandsia,Wright Flyer,Wright Flyer III?,Fort Myer Virgin Islandsia,U.S. Army - Military,0,1,2
9/7/1909,France?,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France,N/A,0,1,1
7/12/1912,U.S.A.,Dirigible?,Dirigible?,Atlantic City New Jersey,US Navy - Military,0,5,5
8/6/1913,British,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1
9/9/1913,North Sea,Zeppelin,Zeppelin L 1 (airship)?,Over the North Sea,German Navy - Military,0,14,20
10/17/1913,Germany,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,German Navy - Military,0,28,28
3/5/1915,Belgium,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,German Navy - Military,0,17,41
9/3/1915,Germany,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,German Navy - Military,0,19,19
7/28/1916,Bulgeria,Schutte,Schutte  Lanz S,Near Jambol Bulgeria,German Army - Military,0,20,20
9/24/1916,England,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,German Navy - Military,0,22,22
10/1/1916,England,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,German Navy - Military,0,19,19
11/21/1916,Germany,Super Zeppelin,Super Zeppelin (airship)?,Mainz Germany,German Army - Military,0,27,28
11/28/1916,England,Zeppelin,Zeppelin L 34 (airship),Off West Virgin Islandsia Hartlepool England,German Navy - Military,0,20,20
3/4/1917,Belgium,Airship?,Airship?,Near Gent Belgium,German Army - Military,0,20,20
3/30/1917,Germany,Schutte,Schutte  Lanz S,Off Northern Germany,German Navy - Military,0,23,23
5/14/1917,North,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,German Navy - SeaMilitary,0,21,21
6/14/1917,North,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,German Navy - SeaMilitary,0,24,24
6/17/1917,England?,Zepplin,Zepplin L 48 (air ship)L,Near Yarmouth England,N/A,0,14,16
8/21/1917,Denmark,Zeppelin,Zeppelin L 23 (airship)?,Off West Virgin Islandsiaern Denmark,German Navy - Military,0,18,18
10/20/1917,France,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,German Navy - Military,0,18,18
4/7/1918,Mediterranean Sea,Zeppelin,Zeppelin L 59 (airship)?,Over the Mediterranean,German Navy - Military,0,23,23
8/5/1918,Germany,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,German Navy - Military,0,22,22
8/11/1918,North,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,German Navy - SeaMilitary,0,19,19
12/16/1918,U.S.A.,De Havilland,De Havilland DH 497,Elizabeth New Jersey,US Aerial Mail Service,0,1,1
5/25/1919,Ohio,De Havilland,De Havilland DH 461,Cleveland Ohio,US Aerial Mail Service,0,1,1
7/19/1919,Pennsylvania,De Havilland,De Havilland DH 482,Dix Run Pennsylvania,US Aerial Mail Service,0,1,1
7/21/1919,Illinois,FD Type,FD Type Dirigible?,Chicago Illinois,Wingfoot Air Express Goodyear Tire,10,3,0
8/2/1919,Italy,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14
