Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
1908-09-17,Virgin Islandsia,Wright Flyer,Wright Flyer III?,Fort Myer Virgin Islandsia,U.S. Army - Military,0,1,2
1909-09-07,France?,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France,,0,1,1
1912-07-12,U.S.A.,Dirigible?,Dirigible?,Atlantic City New Jersey,US Navy - Military,0,5,5
1913-08-06,British,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1
1913-09-09,North Sea,Zeppelin,Zeppelin L 1 (airship)?,Over the North Sea,German Navy - Military,0,14,20
1913-10-17,Germany,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,German Navy - Military,0,28,28
1915-03-05,Belgium,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,German Navy - Military,0,17,41
1915-09-03,Germany,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,German Navy - Military,0,19,19
1916-07-28,Bulgeria,Schutte,Schutte  Lanz S,Near Jambol Bulgeria,German Army - Military,0,20,20
1916-09-24,England,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,German Navy - Military,0,22,22
1916-10-01,England,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,German Navy - Military,0,19,19
1916-11-21,Germany,Super Zeppelin,Super Zeppelin (airship)?,Mainz Germany,German Army - Military,0,27,28
1916-11-28,England,Zeppelin,Zeppelin L 34 (airship),Off West Virgin Islandsia Hartlepool England,German Navy - Military,0,20,20
1917-03-04,Belgium,Airship?,Airship?,Near Gent Belgium,German Army - Military,0,20,20
1917-03-30,Germany,Schutte,Schutte  Lanz S,Off Northern Germany,German Navy - Military,0,23,23
1917-05-14,North,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,German Navy - SeaMilitary,0,21,21
1917-06-14,North,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,German Navy - SeaMilitary,0,24,24
1917-06-17,England?,Zepplin,Zepplin L 48 (air ship)L,Near Yarmouth England,,0,14,16
1917-08-21,Denmark,Zeppelin,Zeppelin L 23 (airship)?,Off West Virgin Islandsiaern Denmark,German Navy - Military,0,18,18
1917-10-20,France,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,German Navy - Military,0,18,18
1918-04-07,Mediterranean Sea,Zeppelin,Zeppelin L 59 (airship)?,Over the Mediterranean,German Navy - Military,0,23,23
1918-08-05,Germany,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,German Navy - Military,0,22,22
1918-08-11,North,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,German Navy - SeaMilitary,0,19,19
